Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
2015-01-01,"27,3","23,9","32,5",0,0,25.461
2015-01-02,"27,02","24,5","33,5",0,0,28.972
2015-01-03,"24,82","22,4","29,9",0,1,30.814
2015-01-04,"23,98","21,5","28,6","1,2",1,29.799
2015-01-05,"23,82",21,"28,3",0,0,28.900
2015-01-06,"23,78","20,1","30,5","12,2",0,28.218
2015-01-07,24,"19,5","33,7",0,0,29.732
2015-01-08,"24,9","19,5","32,8","48,6",0,28.397
2015-01-09,"28,2","21,9",34,"4,4",0,24.886
2015-01-10,"26,76","22,1","34,2",0,1,37.937
2015-01-11,"27,62","22,2","34,8","3,4",1,36.254
2015-01-12,"25,96","21,4","35,4",0,0,25.743
2015-01-13,"25,52","21,2","34,8","0,8",0,26.990
2015-01-14,"25,96","21,3",34,"1,6",0,31.825
2015-01-15,"25,86","21,5","32,8",3,0,25.724
2015-01-16,"26,5","22,3","32,7",2,0,29.938
2015-01-17,"28,86",22,"35,8",0,1,37.690
2015-01-18,"28,26","23,4","35,6",0,1,30.524
2015-01-19,"28,22","22,7","36,5","3,7",0,29.265
2015-01-20,"27,68","23,3","35,6","0,6",0,35.127
2015-01-21,"25,32","22,7","30,9",0,0,29.130
2015-01-22,"21,74","19,2","26,1",31,0,25.795
2015-01-23,"21,04","18,5","26,1","3,6",0,21.784
2015-01-24,"23,12",19,"29,4",13,1,28.348
2015-01-25,"24,4","18,1",30,0,1,31.088
2015-01-26,"22,4","18,9","28,7","20,8",0,21.520
2015-01-27,"23,6","20,5","28,7","1,2",0,29.972
2015-01-28,"25,68","20,1","29,9","4,9",0,22.603
2015-01-29,25,"21,5","29,2",0,0,22.696
2015-01-30,"22,8","20,9","26,9",0,0,26.845
2015-01-31,"21,64","18,5","24,3","0,2",1,27.030
2015-02-01,"24,16","20,6",28,0,1,32.057
2015-02-02,"22,48","20,7","26,5","4,5",0,24.097
2015-02-03,"23,16",18,"31,1","1,6",0,31.655
2015-02-04,"22,12","19,9","23,7","3,2",0,24.738
2015-02-05,"20,28","19,1","22,9","5,6",0,19.950
2015-02-06,"21,06","17,9","25,4","18,4",0,22.821
2015-02-07,"21,86","17,3","28,7","16,7",1,28.893
2015-02-08,"22,76","17,1","29,5","10,4",1,29.926
2015-02-09,24,"19,3","30,7",0,0,24.062
2015-02-10,"23,92","20,1",29,"32,2",0,21.137
2015-02-11,"25,38","19,9","30,4","2,2",0,26.805
2015-02-12,"27,66","23,1","32,7",0,0,26.389
2015-02-13,"25,54","22,5","32,1",0,0,24.219
2015-02-14,"24,32","21,1","31,6",0,1,30.231
2015-02-15,"22,9",20,"27,6","17,4",1,24.968
2015-02-16,"21,6","18,8","27,3","22,7",0,25.343
2015-02-17,"22,76","19,7",28,"85,3",0,17.399
2015-02-18,"22,22","19,9","26,4","13,4",0,21.392
2015-02-19,"23,92","19,9","28,5","2,4",0,22.922
2015-02-20,"24,72","21,7","28,2",0,0,24.567
2015-02-21,"25,2","21,4","31,1",0,1,30.943
2015-02-22,"24,44","20,4","30,8",0,1,30.825
2015-02-23,"25,4","20,7","31,4",0,0,25.692
2015-02-24,"24,3","20,5","31,9",0,0,26.959
2015-02-25,"22,24","19,3","29,3",2,0,25.366
2015-02-26,"24,1","19,2","30,3","34,4",0,22.784
2015-02-27,"24,64","20,4","31,4","0,6",0,26.241
2015-02-28,"22,4","19,7","27,7",0,1,26.467
2015-03-01,"21,26","18,2","26,3",3,1,27.475
2015-03-02,"22,16","17,2","29,2",0,0,28.749
2015-03-03,"23,16","19,5","29,5",0,0,24.146
